,state,id,pollutant,value
31,Uttar Pradesh,34,AQI,221.3748091
9,Delhi,10,AQI,217.2762516
141,Delhi,10,SPM,216.8144756
163,Uttar Pradesh,34,SPM,214.5951664
136,Bihar,5,SPM,214.3362009
159,Rajasthan,29,SPM,193.7041445
27,Rajasthan,29,AQI,191.8216632
4,Bihar,5,AQI,191.3709163
32,Uttarakhand,35,AQI,177.2029084
12,Haryana,13,AQI,175.470963
164,Uttarakhand,35,SPM,172.1797908
139,Dadra & Nagar Haveli,8,SPM,171.7814436
144,Haryana,13,SPM,171.5122704
15,Jharkhand,16,AQI,171.1940252
6,Chhattisgarh,7,AQI,169.3023513
26,Punjab,28,AQI,169.1716458
138,Chhattisgarh,7,SPM,168.1151887
140,Daman & Diu,9,SPM,166.5882733
147,Jharkhand,16,SPM,164.1483236
137,Chandigarh,6,SPM,163.9246945
152,Manipur,22,SPM,161.2153061
5,Chandigarh,6,AQI,160.7241161
7,Dadra & Nagar Haveli,8,AQI,159.9955155
92,Punjab,28,RSPM,153.3209069
8,Daman & Diu,9,AQI,153.2903557
158,Punjab,28,SPM,150.8505646
97,Uttar Pradesh,34,RSPM,148.4541648
81,Jharkhand,16,RSPM,148.1208677
11,Gujarat,12,AQI,146.3918904
143,Gujarat,12,SPM,145.8183292
133,Andhra Pradesh,2,SPM,144.7082806
19,Maharashtra,21,AQI,142.6455783
78,Haryana,13,RSPM,142.4343503
151,Maharashtra,21,SPM,141.2396642
14,Jammu & Kashmir,15,AQI,141.1692758
150,Madhya Pradesh,20,SPM,139.2525585
18,Madhya Pradesh,20,AQI,138.8401567
1,Andhra Pradesh,2,AQI,138.3955217
20,Manipur,22,AQI,137.6049414
156,Odisha,26,SPM,134.024607
24,Odisha,26,AQI,133.3451517
33,West Bengal,36,AQI,132.6387612
72,Chhattisgarh,7,RSPM,132.1593553
3,Assam,4,AQI,131.4506919
13,Himachal Pradesh,14,AQI,131.301745
75,Delhi,10,RSPM,130.7782269
145,Himachal Pradesh,14,SPM,129.4044977
165,West Bengal,36,SPM,128.7898834
135,Assam,4,SPM,126.9234629
98,Uttarakhand,35,RSPM,125.197124
148,Karnataka,17,SPM,122.7152049
16,Karnataka,17,AQI,122.6944644
80,Jammu & Kashmir,15,RSPM,117.8741182
155,Nagaland,25,SPM,116.4910879
23,Nagaland,25,AQI,116.0769366
93,Rajasthan,29,RSPM,115.4340787
161,Tamil Nadu,31,SPM,110.3217326
146,Jammu & Kashmir,15,SPM,108.9374881
70,Bihar,5,RSPM,107.3808049
29,Tamil Nadu,31,AQI,107.1232063
10,Goa,11,AQI,105.7043407
21,Meghalaya,23,AQI,105.531835
142,Goa,11,SPM,103.9098573
71,Chandigarh,6,RSPM,102.4569628
69,Assam,4,RSPM,99.73045903
77,Gujarat,12,RSPM,97.06504056
84,Madhya Pradesh,20,RSPM,92.07669194
30,Telengana,32,AQI,90.90450985
153,Meghalaya,23,SPM,90.76247281
17,Kerala,18,AQI,86.09609638
90,Odisha,26,RSPM,85.93738166
85,Maharashtra,21,RSPM,85.79853885
154,Mizoram,24,SPM,83.70241023
149,Kerala,18,SPM,83.26120673
96,Telengana,32,RSPM,82.84167164
99,West Bengal,36,RSPM,82.61539945
157,Puducherry,27,SPM,82.16044411
73,Dadra & Nagar Haveli,8,RSPM,81.6729598
2,Arunachal Pradesh,3,AQI,81.61152778
79,Himachal Pradesh,14,RSPM,81.29634528
25,Puducherry,27,AQI,80.81550145
89,Nagaland,25,RSPM,79.87508634
87,Meghalaya,23,RSPM,79.42594531
74,Daman & Diu,9,RSPM,78.59066571
22,Mizoram,24,AQI,78.07402375
160,Sikkim,30,SPM,75
67,Andhra Pradesh,2,RSPM,73.55595158
86,Manipur,22,RSPM,73.0122449
68,Arunachal Pradesh,3,RSPM,72.64444444
82,Karnataka,17,RSPM,69.52128024
95,Tamil Nadu,31,RSPM,62.97111984
76,Goa,11,RSPM,62.61746159
83,Kerala,18,RSPM,50.75412838
91,Puducherry,27,RSPM,49.77366845
88,Mizoram,24,RSPM,40.87696617
66,West Bengal,36,NO2,40.17431123
28,Sikkim,30,AQI,40
42,Delhi,10,NO2,39.13394171
48,Jharkhand,16,NO2,39.0933101
94,Sikkim,30,RSPM,32
37,Bihar,5,NO2,28.15201495
59,Punjab,28,NO2,27.75269205
61,Sikkim,30,NO2,26.8
60,Rajasthan,29,NO2,26.74959275
39,Chhattisgarh,7,NO2,26.4565002
134,Arunachal Pradesh,3,SPM,26.2
162,Telengana,32,SPM,26.2
52,Maharashtra,21,NO2,25.7903199
64,Uttar Pradesh,34,NO2,25.07804381
49,Karnataka,17,NO2,24.91309809
65,Uttarakhand,35,NO2,24.22067695
45,Haryana,13,NO2,23.55612556
44,Gujarat,12,NO2,23.09904541
63,Telengana,32,NO2,22.12453628
62,Tamil Nadu,31,NO2,21.53698264
34,Andhra Pradesh,2,NO2,21.22991949
38,Chandigarh,6,NO2,20.41916987
127,Sikkim,30,SO2,19.8
53,Manipur,22,NO2,19.5307483
40,Dadra & Nagar Haveli,8,NO2,18.73602501
41,Daman & Diu,9,NO2,18.71623639
131,Uttarakhand,35,SO2,18.36654958
57,Odisha,26,NO2,17.02553091
51,Madhya Pradesh,20,NO2,16.4624211
114,Jharkhand,16,SO2,15.92333912
50,Kerala,18,NO2,15.67454902
110,Gujarat,12,SO2,14.88727469
36,Assam,4,NO2,14.75569889
43,Goa,11,NO2,14.40060174
46,Himachal Pradesh,14,NO2,14.16624799
58,Puducherry,27,NO2,13.77533836
54,Meghalaya,23,NO2,13.35390715
105,Chhattisgarh,7,SO2,13.15806779
47,Jammu & Kashmir,15,NO2,12.55580907
56,Nagaland,25,NO2,12.25508307
111,Haryana,13,SO2,11.04824113
118,Maharashtra,21,SO2,10.9299316
55,Mizoram,24,NO2,10.84362886
117,Madhya Pradesh,20,SO2,10.45389912
125,Punjab,28,SO2,10.40869463
128,Tamil Nadu,31,SO2,10.1315945
130,Uttar Pradesh,34,SO2,10.1255052
115,Karnataka,17,SO2,9.682718343
120,Meghalaya,23,SO2,9.252459423
124,Puducherry,27,SO2,9.243869796
106,Dadra & Nagar Haveli,8,SO2,9.051814053
107,Daman & Diu,9,SO2,8.917596259
35,Arunachal Pradesh,3,NO2,8.887777778
119,Manipur,22,SO2,8.805449735
103,Bihar,5,SO2,7.907218623
113,Jammu & Kashmir,15,SO2,7.549894683
132,West Bengal,36,SO2,7.203941136
126,Rajasthan,29,SO2,7.155554264
109,Goa,11,SO2,6.810939755
100,Andhra Pradesh,2,SO2,6.432332965
102,Assam,4,SO2,6.251041043
122,Nagaland,25,SO2,6.015920994
108,Delhi,10,SO2,5.993696287
104,Chandigarh,6,SO2,5.963478927
123,Odisha,26,SO2,5.956457144
116,Kerala,18,SO2,5.922979148
121,Mizoram,24,SO2,5.08155125
129,Telengana,32,SO2,5.012619822
112,Himachal Pradesh,14,SO2,4.956246535
101,Arunachal Pradesh,3,SO2,3.888888889
