F1,Number of Records,pollutant,value,id,state,areaType
1,1,AQI,154.9645651,2,Andhra Pradesh,Industrial
1,1,NO2,23.75296739,2,Andhra Pradesh,Industrial
1,1,RSPM,82.60610916,2,Andhra Pradesh,Industrial
1,1,SO2,6.648913813,2,Andhra Pradesh,Industrial
1,1,SPM,161.1339072,2,Andhra Pradesh,Industrial
2,1,AQI,193.2614224,6,Chandigarh,Industrial
2,1,NO2,21.72164846,6,Chandigarh,Industrial
2,1,RSPM,117.5981912,6,Chandigarh,Industrial
2,1,SO2,6.746871897,6,Chandigarh,Industrial
2,1,SPM,208.6817042,6,Chandigarh,Industrial
3,1,AQI,204.4761748,7,Chhattisgarh,Industrial
3,1,NO2,31.66689202,7,Chhattisgarh,Industrial
3,1,RSPM,163.2367888,7,Chhattisgarh,Industrial
3,1,SO2,15.78542034,7,Chhattisgarh,Industrial
3,1,SPM,222.714372,7,Chhattisgarh,Industrial
4,1,AQI,164.6218796,8,Dadra & Nagar Haveli,Industrial
4,1,NO2,18.48200176,8,Dadra & Nagar Haveli,Industrial
4,1,RSPM,82.93751097,8,Dadra & Nagar Haveli,Industrial
4,1,SO2,8.365671642,8,Dadra & Nagar Haveli,Industrial
4,1,SPM,177.6310323,8,Dadra & Nagar Haveli,Industrial
5,1,AQI,151.9619501,9,Daman & Diu,Industrial
5,1,NO2,18.86108751,9,Daman & Diu,Industrial
5,1,RSPM,77.09426508,9,Daman & Diu,Industrial
5,1,SO2,8.211979609,9,Daman & Diu,Industrial
5,1,SPM,163.2516178,9,Daman & Diu,Industrial
6,1,AQI,256.5717576,10,Delhi,Industrial
6,1,NO2,35.83727624,10,Delhi,Industrial
6,1,RSPM,124.9554932,10,Delhi,Industrial
6,1,SO2,7.388425763,10,Delhi,Industrial
6,1,SPM,283.3286548,10,Delhi,Industrial
7,1,AQI,113.8734708,11,Goa,Industrial
7,1,NO2,15.81249671,11,Goa,Industrial
7,1,RSPM,57.75824661,11,Goa,Industrial
7,1,SO2,7.297737452,11,Goa,Industrial
7,1,SPM,116.421399,11,Goa,Industrial
8,1,AQI,181.2488348,12,Gujarat,Industrial
8,1,NO2,26.55310116,12,Gujarat,Industrial
8,1,RSPM,117.1528184,12,Gujarat,Industrial
