,id,state,value,vehicleCountPerState,lat,lon
1,2,Andhra Pradesh,138.3955217,7672,15.9129,79.74
2,3,Arunachal Pradesh,81.61152778,40,28.218,94.7278
3,4,Assam,131.4506919,1142,26.2006,92.9376
4,5,Bihar,191.3709163,1554,25.0961,85.3131
5,6,Chandigarh,160.7241161,757,30.7333,76.7794
6,7,Chhattisgarh,169.3023513,1937,21.2787,81.8661
7,8,Dadra & Nagar Haveli,159.9955155,64,20.1809,73.0169
8,9,Daman & Diu,153.2903557,71,20.4283,72.8397
9,10,Delhi,217.2762516,5071,28.7041,77.1025
10,11,Goa,105.7043407,649,15.2993,74.124
11,12,Gujarat,146.3918904,10088,22.2587,71.1924
12,13,Haryana,175.470963,3744,29.0588,76.0856
13,14,Himachal Pradesh,131.301745,442,31.1048,77.1734
14,15,Jammu & Kashmir,141.1692758,752,33.7782,76.5762
15,16,Jharkhand,171.1940252,2232,23.6102,85.2799
16,17,Karnataka,122.6944644,6649,15.3173,75.7139
17,18,Kerala,86.09609638,4794,10.8505,76.2711
18,20,Madhya Pradesh,138.8401567,5420,22.9734,78.6569
19,21,Maharashtra,142.6455783,13813,19.7515,75.7139
20,22,Manipur,137.6049414,136,24.6637,93.9063
21,23,Meghalaya,105.531835,139,25.467,91.3662
22,24,Mizoram,78.07402375,68,23.1645,92.9376
23,25,Nagaland,116.0769366,227,26.1584,94.5624
24,26,Odisha,133.3451517,2272,20.9517,85.0985
25,27,Puducherry,80.81550145,460,11.9416,79.8083
26,28,Punjab,169.1716458,4582,31.1471,75.3412
27,29,Rajasthan,191.8216632,5729,27.0238,74.2179
28,30,Sikkim,40,25,27.533,88.5122
29,31,Tamil Nadu,107.1232063,12165,11.1271,78.6569
30,32,Telengana,90.90450985,6218,18.1124,79.0193
31,34,Uttar Pradesh,221.3748091,10022,26.8467,80.9462
32,35,Uttarakhand,177.2029084,827,30.0668,79.0193
33,36,West Bengal,132.6387612,2935,22.9868,87.855
